seed_key,source_name,state_source,state_code,city_name,locality_name,distance_km,zone,profile_code,range_1200,range_650,range_250,range_120,range_30,allowed_ranges,shipping_cost,free_from_qty,source_logistic_discount,source_row
VER_033_58,CAZONES DE HERRERA,Veracruz,VER,Cazones de Herrera,Cazones de Herrera,686,SURESTE,PERFIL_09,0.02,0,N/A,N/A,,1200|650,110,650,0.02,723
VER_038_04,COATEPEC,Veracruz,VER,Coatepec,Coatepec,687,SURESTE,PERFIL_09,0.02,0,N/A,N/A,,1200|650,110,650,0.02,724
COA_009_13,FRANCISCO I. MADERO,Coahuila,COA,Francisco I. Madero,Francisco I. Madero (Chávez),691,NORTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,110,650,0.02,727
VER_026_36,BANDERILLA,Veracruz,VER,Banderilla,Banderilla,693,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,729
VER_021_56,ATOYAC,Veracruz,VER,Atoyac,Atoyac,695,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,733
VER_175_55,TIHUATLAN,Veracruz,VER,Tihuatlán,Tihuatlán,695,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,736
SIN_012_05,MAZATLAN,Sinaloa,SIN,Mazatlán,Mazatlán,696,NORESTE,PERFIL_13,0.03,0.02,N/A,N/A,,1200|650,90,650,0.02,738
VER_085_29,IXTACZOQUITLAN,Veracruz,VER,Ixtaczoquitlán,Ixtaczoquitlán,700,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,743
VER_053_32,CUITLAHUAC,Veracruz,VER,Cuitláhuac,Cuitláhuac,701,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,744
GRO_007_05,ARCELIA,Guerrero,GRO,Arcelia,Arcelia,703,MICHOACÁN,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,120,650,0.02,745
VER_125_68,PASO DEL MACHO,Veracruz,VER,Paso del Macho,Paso del Macho,705,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,749
VER_118_12,ORIZABA,Veracruz,VER,Orizaba,Orizaba,706,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,750
VER_138_30,RIO BLANCO,Veracruz,VER,Río Blanco,Río Blanco,707,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,751
VER_115_46,NOGALES,Veracruz,VER,Nogales,Nogales,710,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,754
NLE_039_07,MONTERREY,Nuevo León,NLE,Monterrey,Monterrey,714,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.02,757
DUR_032_04,SANTIAGO PAPASQUIARO,Durango,DUR,Santiago Papasquiaro,Santiago Papasquiaro,714,NORESTE,PERFIL_07,0.05,0.02,N/A,N/A,,1200|650,90,650,0.02,760
NLE_026_04,GUADALUPE,Nuevo León,NLE,Guadalupe,Guadalupe,734,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.02,771
NLE_046_09,SAN NICOLAS DE LOS GARZA,Nuevo León,NLE,San Nicolás de los Garza,San Nicolás de los Garza,734,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.02,772
NLE_019_02,SAN PEDRO GARZA GARCIA,Nuevo León,NLE,San Pedro Garza García,San Pedro Garza García,734,NORTE,PERFIL_08,0.04,0.03,N/A,N/A,,1200|650,110,650,0.02,774
VER_173_62,TEZONAPA,Veracruz,VER,Tezonapa,Tezonapa,735,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,780
VER_211_51,SAN RAFAEL,Veracruz,VER,San Rafael,San rafael,751,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,793
VER_034_61,CERRO AZUL,Veracruz,VER,Cerro Azul,Cerro Azul,755,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,795
VER_174_18,TIERRA BLANCA,Veracruz,VER,Tierra Blanca,Tierra Blanca,768,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,798
GRO_058_24,TELOLOAPAN,Guerrero,GRO,Teloloapan,Teloloapan,772,MICHOACÁN,PERFIL_10,0.04,0.02,N/A,N/A,,1200|650,120,650,0.02,800
SLP_037_18,TAMAZUNCHALE,San Luis Potosí,SLP,Tamazunchale,Tamazunchale,774,MICHOACÁN,PERFIL_05,0.05,0.04,N/A,N/A,,1200|650,110,650,0.02,801
GRO_066_34,TLAPA DE COMONFORT,Guerrero,GRO,Tlapa de Comonfort,Tlapa de Comonfort,787,MICHOACÁN,PERFIL_17,0.04,0,N/A,N/A,,1200|650,120,650,0.02,804
VER_193_17,VERACRUZ,Veracruz,VER,Veracruz,Veracruz,788,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,110,650,0.02,805
VER_028_03,BOCA DEL RIO,Veracruz,VER,Boca del RÍo,Boca del RÍo,808,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,808
VER_010_39,ALTOTONGA,Veracruz,VER,Altotonga,Altotonga,809,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,810
VER_207_08,TRES VALLES,Veracruz,VER,Tres Valles,Tres Valles,811,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,811
VER_155_24,TANTOYUCA,Veracruz,VER,Tantoyuca,Tantoyuca,821,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,820
VER_205_67,EL HIGO,Veracruz,VER,El Higo,El Higo,825,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,822
VER_126_44,PASO DE OVEJAS,Veracruz,VER,Paso de Ovejas,Paso de Ovejas,835,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,826
GRO_021_16,COYUCA DE BENITEZ,Guerrero,GRO,Coyuca de Benítez,Coyuca de Benítez,836,MICHOACÁN,PERFIL_17,0.04,0,N/A,N/A,,1200|650,120,650,0.02,827
GRO_053_29,SAN MARCOS,Guerrero,GRO,San Marcos,San Marcos,838,MICHOACÁN,PERFIL_17,0.04,0,N/A,N/A,,1200|650,120,650,0.02,829
OAX_390_58,SANTA LUCIA DEL CAMINO,Oaxaca,OAX,Santa Lucía del Camino,Santa Lucía del Camino,843,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.02,832
OAX_107_59,SAN ANTONIO DE LA CAL,Oaxaca,OAX,San Antonio de la Cal,San Antonio de la Cal,848,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.02,840
OAX_067_02,OAXACA DE JUAREZ,Oaxaca,OAX,Oaxaca de Juárez,Oaxaca de Juárez,856,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.02,845
VER_011_34,ALVARADO,Veracruz,VER,Alvarado,Alvarado,866,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,850
GRO_015_12,BUENAVISTA DE CUELLAR,Guerrero,GRO,Buenavista de Cuéllar,Buenavista de Cuellar,866,MICHOACÁN,PERFIL_17,0.04,0,N/A,N/A,,1200|650,120,650,0.02,851
OAX_483_11,SANTIAGO SUCHILQUITONGO,Oaxaca,OAX,Santiago Suchilquitongo,Santiago Suchilquitongo,869,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.02,854
CHH_032_05,HIDALGO DEL PARRAL,Chihuahua,CHH,Hidalgo del Parral,Hidalgo del Parral,873,NORESTE,PERFIL_09,0.02,0,N/A,N/A,,1200|650,131,650,0.02,855
OAX_150_41,SAN FRANCISCO TELIXTLAHUACA,Oaxaca,OAX,San Francisco Telixtlahuaca,San Francisco Telixtlahuaca,878,SURESTE,PERFIL_16,0.03,N/A,N/A,N/A,,1200,131,650,0.02,861
VER_148_60,SOLEDAD DE DOBLADO,Veracruz,VER,Soledad de Doblado,Soledad de Doblado,879,SURESTE,PERFIL_15,0.02,N/A,N/A,N/A,,1200,131,650,0.02,862
