SKU,Producto,Fecha,Cantidad,Origen,Usage Origen,Destino,Usage Destino,Clasificacion,Afecto Almacen (WH),Saldo Almacen Acumulado,Referencia,Lote
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-10-16 22:35:44,60.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,0.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00469,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-10-20 19:34:38,29.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,0.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00481,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-11 23:41:39,32.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock/89-C-3,internal,TRANSITO_A_ALMACEN,SI,32.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01642,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-11 23:44:58,28.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock/89-C-2,internal,TRANSITO_A_ALMACEN,SI,60.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01726,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-19 20:12:18,64.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,60.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00480,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-19 20:38:00,64.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,Ubicaciones de Socios/Proveedor,supplier,CANCELACION_TRANSITO_A_PROVEEDOR,NO,60.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00506,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-25 00:34:57,29.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock/57-B-2,internal,TRANSITO_A_ALMACEN,SI,89.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01677,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-11-25 18:02:19,64.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,89.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00505,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-12-01 18:34:04,4.0,WH/stock/57-B-2,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,85.0,ZTYRES/ENTREGA/CLIENTE/129974,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-12-09 22:53:46,4.0,WH/stock/57-B-2,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,81.0,ZTYRES/ENTREGA/CLIENTE/131040,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-12-18 16:45:32,176.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,81.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00519,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-12-19 16:54:26,3.0,WH/stock/89-C-3,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,78.0,ZTYRES/ENTREGA/CLIENTE/132787,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2025-12-19 16:54:26,21.0,WH/stock/57-B-2,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,57.0,ZTYRES/ENTREGA/CLIENTE/132787,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-07 17:06:04,155.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock,internal,TRANSITO_A_ALMACEN,SI,212.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01676,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-27 18:44:41,20.0,WH/stock/89-C-3,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,192.0,ZTYRES/ENTREGA/CLIENTE/137809,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 16:15:53,91.0,Ubicaciones de Socios/Proveedor,supplier,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,IN_TRANSITO,NO,192.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/TRANSITO/00593,
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 16:39:35,85.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock,internal,TRANSITO_A_ALMACEN,SI,277.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01813,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 16:39:35,90.0,Ubicaciones Virtuales/TRANSITO INTERNACIONAL,transit,WH/stock,internal,TRANSITO_A_ALMACEN,SI,367.0,ZTYRES/RECEPCION/COMPRAS/INTERNACIONALES/ALMACEN/01813,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,21.0,WH/stock,internal,WH/stock/65-C-9,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,32.0,WH/stock,internal,WH/stock/64-C-8,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,32.0,WH/stock,internal,WH/stock/65-C-8,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,30.0,WH/stock,internal,WH/stock/64-C-9,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
